Date : 2024-11-12 21:56:30
Directory : d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql
Total : 252 files,  20841 codes, 94 comments, 2152 blanks, all 23087 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frontend\src\components\NavBar\ShoppingCart                                                                                                                                       |          2 |        184 |          0 |         26 |        210 |
| frontend\src\components\NavBar\UserProfileNavBtn                                                                                                                                  |          2 |        168 |          0 |         21 |        189 |
| frontend\src\components\Pagination                                                                                                                                                |          2 |        101 |          0 |         20 |        121 |
| frontend\src\components\ProfilePicture                                                                                                                                            |          2 |         45 |          0 |          8 |         53 |
| frontend\src\components\ProtectedRoute                                                                                                                                            |          1 |         64 |          0 |         18 |         82 |
| frontend\src\components\RegisterForm                                                                                                                                              |          2 |        333 |          0 |         44 |        377 |
| frontend\src\components\SearchBar                                                                                                                                                 |          2 |        113 |          0 |         20 |        133 |
| frontend\src\components\Title                                                                                                                                                     |          2 |         73 |          0 |          8 |         81 |
| frontend\src\components\TitleBanner                                                                                                                                               |          2 |         24 |          0 |          7 |         31 |
| frontend\src\components\TutorialDetail                                                                                                                                            |          2 |         36 |          0 |          9 |         45 |
| frontend\src\components\UserList                                                                                                                                                  |          2 |        162 |          0 |         19 |        181 |
| frontend\src\context                                                                                                                                                              |          1 |        166 |          1 |         22 |        189 |
| frontend\src\hooks                                                                                                                                                                |          6 |        392 |          1 |         51 |        444 |
| frontend\src\pages                                                                                                                                                                |         64 |      5,247 |         49 |        717 |      6,013 |
| frontend\src\pages\About                                                                                                                                                          |          2 |         11 |          4 |          5 |         20 |
| frontend\src\pages\Blog                                                                                                                                                           |          2 |         10 |          6 |          5 |         21 |
| frontend\src\pages\Blogs                                                                                                                                                          |          2 |        308 |         17 |         39 |        364 |
| frontend\src\pages\Checkout                                                                                                                                                       |          7 |        347 |          1 |         51 |        399 |
| frontend\src\pages\Checkout (Files)                                                                                                                                               |          1 |          4 |          0 |          2 |          6 |
| frontend\src\pages\Checkout\Cancel                                                                                                                                                |          1 |         14 |          0 |          3 |         17 |
| frontend\src\pages\Checkout\SubscriptionCart                                                                                                                                      |          2 |        174 |          1 |         23 |        198 |
| frontend\src\pages\Checkout\Success                                                                                                                                               |          1 |         13 |          0 |          3 |         16 |
| frontend\src\pages\Checkout\ViewCart                                                                                                                                              |          2 |        142 |          0 |         20 |        162 |
| frontend\src\pages\Contact                                                                                                                                                        |          2 |         11 |          4 |          4 |         19 |
| frontend\src\pages\Home                                                                                                                                                           |          2 |         15 |          5 |          6 |         26 |
| frontend\src\pages\Network                                                                                                                                                        |          2 |        192 |          0 |         23 |        215 |
| frontend\src\pages\PlansAndPricing                                                                                                                                                |          6 |        907 |          0 |        102 |      1,009 |
| frontend\src\pages\PlansAndPricing (Files)                                                                                                                                        |          2 |        372 |          0 |         38 |        410 |
| frontend\src\pages\PlansAndPricing\ConsultationForm                                                                                                                               |          2 |        262 |          0 |         33 |        295 |
| frontend\src\pages\PlansAndPricing\SubscriptionCard                                                                                                                               |          2 |        273 |          0 |         31 |        304 |
| frontend\src\pages\SignInRegister                                                                                                                                                 |          2 |         26 |          0 |          5 |         31 |
| frontend\src\pages\Tutorial                                                                                                                                                       |          2 |         11 |          6 |          5 |         22 |
| frontend\src\pages\Tutorials                                                                                                                                                      |          2 |        468 |          1 |         58 |        527 |
| frontend\src\pages\UserProfileLayout                                                                                                                                              |         33 |      2,941 |          5 |        414 |      3,360 |
| frontend\src\pages\UserProfileLayout (Files)                                                                                                                                      |          2 |        493 |          2 |         64 |        559 |
| frontend\src\pages\UserProfileLayout\CommentHistory                                                                                                                               |          2 |        150 |          0 |         21 |        171 |
| frontend\src\pages\UserProfileLayout\EditProfileModal                                                                                                                             |          4 |        426 |          1 |         60 |        487 |
| frontend\src\pages\UserProfileLayout\EditProfileModal (Files)                                                                                                                     |          2 |        302 |          1 |         41 |        344 |
| frontend\src\pages\UserProfileLayout\EditProfileModal\SocialLinksEditor                                                                                                           |          2 |        124 |          0 |         19 |        143 |
| frontend\src\pages\UserProfileLayout\FavoritesSection                                                                                                                             |          2 |        345 |          0 |         42 |        387 |
| frontend\src\pages\UserProfileLayout\FollowButton                                                                                                                                 |          1 |         35 |          0 |          5 |         40 |
| frontend\src\pages\UserProfileLayout\FollowList                                                                                                                                   |          2 |        150 |          0 |         24 |        174 |
| frontend\src\pages\UserProfileLayout\FollowList\FollowersList                                                                                                                     |          1 |         88 |          0 |         13 |        101 |
| frontend\src\pages\UserProfileLayout\FollowList\FollowingList                                                                                                                     |          1 |         62 |          0 |         11 |         73 |
| frontend\src\pages\UserProfileLayout\MessageInboxLayout                                                                                                                           |         12 |        930 |          0 |        136 |      1,066 |
| frontend\src\pages\UserProfileLayout\MessageInboxLayout (Files)                                                                                                                   |          2 |         85 |          0 |         15 |        100 |
| frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxChatWindow                                                                                                    |          4 |        412 |          0 |         51 |        463 |
| frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxChatWindow (Files)                                                                                            |          2 |        275 |          0 |         31 |        306 |
| frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxChatWindow\SentMessages                                                                                       |          2 |        137 |          0 |         20 |        157 |
| frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxConvoHistory                                                                                                  |          2 |        330 |          0 |         48 |        378 |
| frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxSidebar                                                                                                       |          4 |        103 |          0 |         22 |        125 |
| frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxSidebar (Files)                                                                                               |          2 |         26 |          0 |          7 |         33 |
| frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxSidebar\SidebarButtons                                                                                        |          2 |         77 |          0 |         15 |         92 |
| frontend\src\pages\UserProfileLayout\MessageUserModal                                                                                                                             |          2 |        218 |          2 |         31 |        251 |
| frontend\src\pages\UserProfileLayout\PublicUserPage                                                                                                                               |          2 |         54 |          0 |         12 |         66 |
| frontend\src\pages\UserProfileLayout\SocialLinksDisplay                                                                                                                           |          2 |         53 |          0 |          8 |         61 |
| frontend\src\pages\UserProfileLayout\UserAccountPage                                                                                                                              |          2 |         87 |          0 |         11 |         98 |
| frontend\src\services                                                                                                                                                             |         13 |        566 |          0 |        112 |        678 |
| frontend\src\types                                                                                                                                                                |         25 |        264 |          0 |         35 |        299 |
| frontend\src\types (Files)                                                                                                                                                        |         14 |        118 |          0 |         18 |        136 |
| frontend\src\types\Blog                                                                                                                                                           |          1 |         15 |          0 |          3 |         18 |
| frontend\src\types\Comment                                                                                                                                                        |          3 |         43 |          0 |          3 |         46 |
| frontend\src\types\Content                                                                                                                                                        |          2 |         10 |          0 |          2 |         12 |
| frontend\src\types\Tutorial                                                                                                                                                       |          1 |         17 |          0 |          3 |         20 |
| frontend\src\types\User                                                                                                                                                           |          4 |         61 |          0 |          6 |         67 |
| frontend\src\utils                                                                                                                                                                |          9 |        343 |          2 |         66 |        411 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\package-lock.json                                                                                           | JSON               |      3,029 |          0 |          1 |      3,030 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\package.json                                                                                                | JSON               |         48 |          0 |          1 |         49 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\app.ts                                                                                                  | TypeScript         |         78 |          0 |         16 |         94 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\db.ts                                                                                                   | TypeScript         |         15 |          0 |          6 |         21 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\middleware\authenticate.ts                                                                              | TypeScript         |         39 |          0 |          7 |         46 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\blogs.ts                                                                                         | TypeScript         |         32 |          0 |          5 |         37 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\comments.ts                                                                                      | TypeScript         |        319 |          2 |         66 |        387 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\conversations.ts                                                                                 | TypeScript         |        188 |          6 |         41 |        235 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\favourites.ts                                                                                    | TypeScript         |         80 |          0 |         17 |         97 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\forms.ts                                                                                         | TypeScript         |         27 |          0 |          8 |         35 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\messages.ts                                                                                      | TypeScript         |        104 |          1 |         21 |        126 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\network.ts                                                                                       | TypeScript         |         42 |          0 |         10 |         52 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\notifications.ts                                                                                 | TypeScript         |         59 |          0 |         13 |         72 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\profile.ts                                                                                       | TypeScript         |        193 |          7 |         45 |        245 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\purchases.ts                                                                                     | TypeScript         |         26 |          0 |          7 |         33 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\stripe.ts                                                                                        | TypeScript         |        227 |          0 |         43 |        270 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\tutorials.ts                                                                                     | TypeScript         |         32 |          0 |          6 |         38 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\user.ts                                                                                          | TypeScript         |        408 |          2 |         89 |        499 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\services\commentService.ts                                                                              | TypeScript         |        147 |          2 |         24 |        173 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\services\emailService.ts                                                                                | TypeScript         |         56 |          0 |         12 |         68 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\services\subscriptionService.ts                                                                         | TypeScript         |         38 |          1 |          9 |         48 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\AuthRequest.ts                                                                                    | TypeScript         |          6 |          0 |          1 |          7 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Blog.ts                                                                                           | TypeScript         |          6 |          0 |          1 |          7 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\CartItem.ts                                                                                       | TypeScript         |          8 |          0 |          1 |          9 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Comment.ts                                                                                        | TypeScript         |         17 |          0 |          1 |         18 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\ContentType.ts                                                                                    | TypeScript         |          1 |          0 |          1 |          2 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Conversations.ts                                                                                  | TypeScript         |         11 |          0 |          1 |         12 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Email.ts                                                                                          | TypeScript         |          6 |          0 |          1 |          7 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\GoogleResponse.ts                                                                                 | TypeScript         |          5 |          0 |          1 |          6 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Messages.ts                                                                                       | TypeScript         |         10 |          0 |          1 |         11 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Notifications.ts                                                                                  | TypeScript         |         13 |          0 |          1 |         14 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\PurchasedItem.ts                                                                                  | TypeScript         |          9 |          0 |          1 |         10 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\Tutorial.ts                                                                                       | TypeScript         |          7 |          0 |          1 |          8 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\User.ts                                                                                           | TypeScript         |         13 |          0 |          1 |         14 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\express.d.ts                                                                                      | TypeScript         |         10 |          0 |          2 |         12 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\fetchReplies.ts                                                                                   | TypeScript         |         58 |          0 |         11 |         69 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\formValidation.ts                                                                                 | TypeScript         |         20 |          0 |          3 |         23 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\getUserIdFromToken.ts                                                                             | TypeScript         |         14 |          0 |          5 |         19 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\jwtUtils.ts                                                                                       | TypeScript         |         30 |          0 |          4 |         34 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\storageConfig.ts                                                                                  | TypeScript         |         24 |          0 |          8 |         32 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\userUtils.ts                                                                                      | TypeScript         |         25 |          0 |          3 |         28 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\tsconfig-paths-bootstrap.js                                                                                 | JavaScript         |         13 |          0 |          5 |         18 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\tsconfig.json                                                                                               | JSON with Comments |         22 |          0 |          1 |         23 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\.eslintrc.cjs                                                                                              | JavaScript         |         18 |          0 |          1 |         19 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\README.md                                                                                                  | Markdown           |         10 |          0 |          9 |         19 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\index.html                                                                                                 | HTML               |         13 |          0 |          1 |         14 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\package-lock.json                                                                                          | JSON               |      3,715 |          0 |          1 |      3,716 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\package.json                                                                                               | JSON               |         39 |          0 |          1 |         40 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\App.tsx                                                                                                | TypeScript JSX     |         26 |          0 |          4 |         30 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\GlobalStyles.ts                                                                                        | TypeScript         |        100 |          0 |         16 |        116 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\PageWrapper.styled.ts                                                                                  | TypeScript         |         16 |          0 |          3 |         19 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\api\api.ts                                                                                             | TypeScript         |         80 |          1 |         16 |         97 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\blogContent.ts                                                                                  | TypeScript         |        143 |          0 |          2 |        145 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\images\SquaresAndTriangles.svg                                                                  | XML                |          5 |          0 |          1 |          6 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\images\blogs\WebAssembly_Logo.svg                                                               | XML                |          5 |          3 |          0 |          8 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\images\plansAndPricing\Ellipse7.svg                                                             | XML                |          3 |          0 |          1 |          4 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\images\plansAndPricing\golden-medal.svg                                                         | XML                |         10 |          0 |          1 |         11 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\images\swirly-line-bg.svg                                                                       | XML                |          9 |          0 |          1 |         10 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\tutorialContent.ts                                                                              | TypeScript         |        217 |          0 |          3 |        220 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Accordion\Accordion.styled.ts                                                               | TypeScript         |         16 |          0 |          5 |         21 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Accordion\Accordion.tsx                                                                     | TypeScript JSX     |         35 |          3 |          6 |         44 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\AddToCartButton\AddToCartButton.styled.ts                                                   | TypeScript         |         17 |          0 |          5 |         22 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\AddToCartButton\AddToCartButton.tsx                                                         | TypeScript JSX     |         38 |          0 |          6 |         44 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\BlogDetail\BlogDetail.styled.ts                                                             | TypeScript         |          7 |          0 |          2 |          9 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\BlogDetail\BlogDetail.tsx                                                                   | TypeScript JSX     |         28 |          0 |          7 |         35 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\BurgerMenu\BurgerMenu.styled.ts                                                             | TypeScript         |         26 |          1 |          4 |         31 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\BurgerMenu\BurgerMenu.tsx                                                                   | TypeScript JSX     |         14 |          0 |          4 |         18 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\CommentSection\CommentSection.styled.ts                                                     | TypeScript         |         87 |          0 |         15 |        102 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\CommentSection\CommentSection.tsx                                                           | TypeScript JSX     |        339 |          0 |         46 |        385 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\CommentSection\Comment\Comment.styled.ts                                                    | TypeScript         |        131 |          0 |         16 |        147 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\CommentSection\Comment\Comment.tsx                                                          | TypeScript JSX     |        168 |          0 |         14 |        182 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\DeleteConfirmationModal\DeleteConfirmationModal.styled.ts                                   | TypeScript         |         42 |          0 |          7 |         49 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\DeleteConfirmationModal\DeleteConfirmationModal.tsx                                         | TypeScript JSX     |         27 |          0 |          4 |         31 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\FavouriteButton\FavouriteButton.styled.ts                                                   | TypeScript         |         10 |          0 |          3 |         13 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\FavouriteButton\FavouriteButton.tsx                                                         | TypeScript JSX     |         20 |          0 |          3 |         23 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Footer\Footer.styled.ts                                                                     | TypeScript         |        160 |          0 |         23 |        183 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Footer\Footer.tsx                                                                           | TypeScript JSX     |         83 |          0 |          8 |         91 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\FormWrapper.tsx                                                                        | TypeScript JSX     |         24 |          0 |          4 |         28 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\GoogleAuthButton.tsx                                                                   | TypeScript JSX     |         17 |          0 |          4 |         21 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\InputField.tsx                                                                         | TypeScript JSX     |         20 |          0 |          4 |         24 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\Message.tsx                                                                            | TypeScript JSX     |         29 |          0 |          5 |         34 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\SubmitButton.tsx                                                                       | TypeScript JSX     |         11 |          0 |          4 |         15 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\TermsCheckbox.tsx                                                                      | TypeScript JSX     |         32 |          0 |          5 |         37 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\FormMessage.styled.ts                                                           | TypeScript         |         15 |          0 |          2 |         17 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\FormWrapper.styled.ts                                                           | TypeScript         |         28 |          0 |          6 |         34 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\GoogleAuthButton.styled.ts                                                      | TypeScript         |         23 |          0 |          4 |         27 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\InputField.styled.ts                                                            | TypeScript         |         27 |          0 |          7 |         34 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\SubmitButton.styled.ts                                                          | TypeScript         |         32 |          0 |          5 |         37 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Form\styles\TermsCheckbox.styled.ts                                                         | TypeScript         |         64 |          0 |         10 |         74 |
